hour,date,users,event_count,event_name,day
0,2019-01-02,1,1,bBCA,0
0,2019-01-02,1,1,aO,0
0,2019-01-02,1,1,bBCD,0
0,2019-01-02,1,6,sD,0
0,2019-01-02,1,1,nO,14
0,2019-01-02,1,1,bST,0
0,2019-01-02,1,1,fL,0
0,2019-01-02,1,1,aO,14
0,2019-01-02,1,5,aS,0
1,2019-01-02,1,1,aO,7
1,2019-01-02,1,1,bBCA,0
1,2019-01-02,1,2,bST,0
1,2019-01-02,1,1,fL,7
1,2019-01-02,1,1,fL,0
1,2019-01-02,1,1,cFE,0
1,2019-01-02,2,2,aO,0
1,2019-01-02,1,1,aO,1
1,2019-01-02,1,1,aS,1
1,2019-01-02,1,1,sD,1
1,2019-01-02,1,1,fL,1
1,2019-01-02,1,1,aS,0
1,2019-01-02,1,1,sD,0
2,2019-01-02,2,14,sD,1
2,2019-01-02,1,1,bST,0
2,2019-01-02,2,2,bBCD,1
2,2019-01-02,5,10,bBCA,0
2,2019-01-02,1,2,aO,21
2,2019-01-02,1,2,aS,45
2,2019-01-02,1,2,nO,21
2,2019-01-02,1,2,sD,45
2,2019-01-02,1,2,bBCD,21
2,2019-01-02,5,12,fL,0
2,2019-01-02,2,13,aS,1
2,2019-01-02,3,13,fL,1
2,2019-01-02,1,4,aS,7
2,2019-01-02,1,9,fL,7
2,2019-01-02,5,80,cFE,0
2,2019-01-02,3,4,aO,1
2,2019-01-02,1,3,sD,7
2,2019-01-02,1,7,fL,45
2,2019-01-02,5,5,bBCD,0
2,2019-01-02,1,3,fL,21
2,2019-01-02,1,3,bBCA,21
2,2019-01-02,1,1,bBCD,7
2,2019-01-02,1,1,bST,1
2,2019-01-02,2,2,bBCA,1
2,2019-01-02,1,297,cFE,1
2,2019-01-02,1,1,bBCA,7
2,2019-01-02,5,20,aS,0
2,2019-01-02,1,1,cFE,7
2,2019-01-02,5,6,aO,0
2,2019-01-02,5,22,sD,0
2,2019-01-02,1,1,aO,7
2,2019-01-02,1,1,aO,45
3,2019-01-02,1,1,bST,0
3,2019-01-02,1,2,nR,1
3,2019-01-02,1,1,nO,21
3,2019-01-02,2,10,fL,1
3,2019-01-02,2,9,cFE,0
3,2019-01-02,2,2,nO,1
3,2019-01-02,2,2,aO,0
3,2019-01-02,1,1,bBCA,14
3,2019-01-02,1,2,bST,1
3,2019-01-02,3,13,fL,0
3,2019-01-02,3,8,aS,0
3,2019-01-02,1,1,nR,21
3,2019-01-02,1,1,bBCD,14
3,2019-01-02,1,6,aS,1
3,2019-01-02,1,4,sD,1
3,2019-01-02,2,5,bBCA,0
3,2019-01-02,3,9,sD,0
3,2019-01-02,1,1,aO,21
3,2019-01-02,2,3,bBCA,1
3,2019-01-02,2,2,bBCD,0
3,2019-01-02,1,1,fL,21
3,2019-01-02,1,1,bBCD,1
3,2019-01-02,2,2,aO,1
