date,hour,users, sessionLength,event_count
2019-01-02,0,45,282,52
2019-01-02,1,62,254,67
2019-01-02,2,97,213,109
2019-01-02,3,147,215,152
2019-01-02,4,172,232,185
2019-01-02,5,193,236,210
2019-01-02,6,201,226,221
2019-01-02,7,237,203,253
2019-01-02,8,257,216,274
2019-01-02,9,250,247,279
2019-01-02,10,270,237,290
2019-01-02,11,212,225,249
2019-01-02,12,239,211,260
2019-01-02,13,212,224,235
2019-01-02,14,193,251,205
2019-01-02,15,151,242,165
2019-01-02,16,132,247,138
2019-01-02,17,99,269,106
2019-01-02,18,60,341,64
2019-01-02,19,37,314,37
2019-01-02,20,46,250,47
2019-01-02,21,25,216,25
2019-01-02,22,21,417,22
2019-01-02,23,25,132,27
2019-01-03,0,40,148,43
2019-01-03,1,86,239,93
2019-01-03,2,124,195,132
2019-01-03,3,207,221,226
2019-01-03,4,197,203,217
2019-01-03,5,203,220,223
2019-01-03,6,306,215,350
2019-01-03,7,278,232,325
2019-01-03,8,277,237,316
2019-01-03,9,257,226,276
2019-01-03,10,200,270,220
2019-01-03,11,219,181,250
2019-01-03,12,208,275,233
2019-01-03,13,215,221,231
2019-01-03,14,197,216,207
2019-01-03,15,181,249,197
2019-01-03,16,146,271,163
2019-01-03,17,104,240,111
2019-01-03,18,65,188,69
2019-01-03,19,43,288,46
2019-01-03,20,26,208,28
2019-01-03,21,52,250,55
2019-01-03,22,30,205,33
2019-01-03,23,37,151,40
2019-01-04,0,48,195,50
2019-01-04,1,102,217,109
2019-01-04,2,123,259,135
2019-01-04,3,136,219,147
2019-01-04,4,160,209,181
2019-01-04,5,225,211,253
2019-01-04,6,249,313,291
2019-01-04,7,210,203,233
2019-01-04,8,203,270,228
2019-01-04,9,253,254,288
2019-01-04,10,240,261,260
2019-01-04,11,183,202,196
2019-01-04,12,171,251,190
2019-01-04,13,183,284,201
2019-01-04,14,135,223,147
2019-01-04,15,124,241,136
2019-01-04,16,121,329,130
2019-01-04,17,93,232,101
2019-01-04,18,58,361,59
2019-01-04,19,25,371,29
2019-01-04,20,23,210,26
2019-01-04,21,25,334,27
2019-01-04,22,27,217,33
2019-01-04,23,27,193,32
2019-01-05,0,56,251,64
2019-01-05,1,76,206,80
2019-01-05,2,84,417,100
2019-01-05,3,115,240,124
2019-01-05,4,116,245,123
2019-01-05,5,191,214,213
2019-01-05,6,179,348,191
2019-01-05,7,194,219,206
2019-01-05,8,172,258,179
2019-01-05,9,167,228,192
2019-01-05,10,207,232,222
2019-01-05,11,186,174,194
2019-01-05,12,178,233,192
2019-01-05,13,172,236,197
2019-01-05,14,149,301,164
2019-01-05,15,124,226,142
2019-01-05,16,130,315,146
2019-01-05,17,108,271,112
2019-01-05,18,58,273,69
2019-01-05,19,35,275,38
2019-01-05,20,25,257,28
2019-01-05,21,17,215,18
2019-01-05,22,21,345,21
2019-01-05,23,25,187,25
2019-01-06,0,42,197,43
2019-01-06,1,72,251,74
2019-01-06,2,109,222,122
2019-01-06,3,90,247,100
2019-01-06,4,95,232,104
2019-01-06,5,98,220,108
2019-01-06,6,175,238,196
2019-01-06,7,186,246,200
2019-01-06,8,246,235,274
2019-01-06,9,168,265,180
2019-01-06,10,180,248,191
2019-01-06,11,167,314,177
2019-01-06,12,171,253,187
2019-01-06,13,167,306,184
2019-01-06,14,174,211,188
2019-01-06,15,165,252,227
2019-01-06,16,163,345,210
2019-01-06,17,104,296,124
2019-01-06,18,64,254,89
2019-01-06,19,45,336,47
2019-01-06,20,20,1032,21
2019-01-06,21,29,124,29
2019-01-06,22,25,215,28
2019-01-06,23,35,221,35
2019-01-07,0,67,239,72
2019-01-07,1,109,614,121
2019-01-07,2,125,256,144
2019-01-07,3,134,276,186
2019-01-07,4,137,318,150
2019-01-07,5,136,202,152
2019-01-07,6,190,202,215
2019-01-07,7,222,212,262
2019-01-07,8,215,197,273
2019-01-07,9,272,188,353
2019-01-07,10,250,304,299
2019-01-07,11,186,235,213
2019-01-07,12,197,254,220
2019-01-07,13,261,304,289
2019-01-07,14,197,433,222
2019-01-07,15,197,255,212
2019-01-07,16,166,254,181
2019-01-07,17,156,217,172
2019-01-07,18,87,209,91
2019-01-07,19,42,254,47
2019-01-07,20,41,252,41
2019-01-07,21,27,179,27
2019-01-07,22,40,226,41
2019-01-07,23,35,184,35
2019-01-08,0,67,219,74
2019-01-08,1,125,239,139
2019-01-08,2,145,221,154
2019-01-08,3,211,230,231
2019-01-08,4,206,257,232
2019-01-08,5,205,242,220
2019-01-08,6,214,221,234
2019-01-08,7,201,197,237
2019-01-08,8,285,245,349
2019-01-08,9,200,228,285
2019-01-08,10,169,207,209
2019-01-08,11,165,193,186
2019-01-08,12,218,222,254
2019-01-08,13,211,237,258
2019-01-08,14,187,221,199
2019-01-08,15,190,219,215
2019-01-08,16,157,247,169
2019-01-08,17,100,205,103
2019-01-08,18,64,335,71
2019-01-08,19,45,256,48
2019-01-08,20,27,302,29
2019-01-08,21,29,206,35
2019-01-08,22,32,342,34
2019-01-08,23,40,327,43
2019-01-09,0,51,243,58
2019-01-09,1,84,217,91
2019-01-09,2,115,246,121
2019-01-09,3,174,271,185
2019-01-09,4,189,178,200
2019-01-09,5,177,214,195
2019-01-09,6,166,299,186
2019-01-09,7,247,221,274
2019-01-09,8,292,199,347
2019-01-09,9,200,220,229
2019-01-09,10,202,554,227
2019-01-09,11,185,225,206
2019-01-09,12,179,257,202
2019-01-09,13,241,243,260
2019-01-09,14,217,212,229
2019-01-09,15,161,241,172
2019-01-09,16,152,245,167
2019-01-09,17,122,230,133
2019-01-09,18,56,233,58
2019-01-09,19,39,159,40
2019-01-09,20,31,301,31
2019-01-09,21,23,273,23
2019-01-09,22,24,214,25
2019-01-09,23,38,250,42
2019-01-10,0,45,229,47
2019-01-10,1,81,677,88
2019-01-10,2,126,222,141
2019-01-10,3,153,252,165
2019-01-10,4,153,180,162
2019-01-10,5,218,214,245
2019-01-10,6,180,219,197
2019-01-10,7,173,219,196
2019-01-10,8,254,211,273
2019-01-10,9,210,207,222
2019-01-10,10,209,231,227
2019-01-10,11,235,187,255
2019-01-10,12,191,232,218
